net,length_um
_0620_,24.36
_2387_,24.36
_0569_,24.32
_0914_,24.3
_1196_,24.28
_2911_,24.26
u_interface.core_attn_out\[2\],24.25
_1040_,24.24
_1818_,24.18
clknet_leaf_7_clk,24.1
_2479_,24
_0939_,23.96
_2993_,23.96
_1206_,23.92
u_interface.core_attn_out\[7\],23.86
_2751_,23.8
_2073_,23.78
_1466_,23.66
_1883_,23.66
_2428_,23.66
_2950_,23.66
_1403_,23.6
_2383_,23.54
_1713_,23.5
_2845_,23.46
_0673_,23.42
_1073_,23.42
_1515_,23.38
net54,23.38
_0875_,23.36
_0845_,23.34
_1097_,23.26
_1482_,23.16
u_interface.u_compute_core.mac_accum\[18\],23.16
_0992_,23.14
_2585_,23.13
_2186_,23.12
_1964_,23.08
net118,23.08
_1244_,23.06
_2157_,23.04
_0412_,23.02
_2118_,22.98
_2502_,22.96
_2336_,22.94
net58,22.92
u_interface.u_compute_core.mac_accum\[15\],22.88
_1487_,22.82
_1253_,22.815
_1011_,22.8
_2602_,22.72
_2769_,22.72
_3009_,22.7
_2484_,22.68
_0732_,22.64
_0423_,22.63
u_interface.u_compute_core.u_mac.product_reg\[12\],22.58
_1397_,22.56
_2004_,22.56
_2415_,22.55
_0928_,22.54
_1312_,22.54
_2920_,22.54
_1522_,22.48
_0642_,22.46
_2115_,22.44
_2269_,22.4
u_interface.u_compute_core.mac_accum\[21\],22.38
_1904_,22.36
_2436_,22.3
_0247_,22.28
_0904_,22.28
_1249_,22.28
u_interface.u_compute_core.mac_accum\[31\],22.26
_0916_,22.22
_0999_,22.2
_1988_,22.18
_0448_,22.16
_2593_,22.16
u_interface.u_compute_core.scaled_data\[5\],22.155
_0749_,22.14
_1114_,22.14
_2053_,22.12
_1342_,22.1
_0283_,22.04
_1902_,22.04
u_interface.u_compute_core.u_mac.product_reg\[1\],22.04
u_interface.core_attn_out\[12\],21.92
_0897_,21.84
_1707_,21.84
_1093_,21.82
_1252_,21.8
_1237_,21.76
_2796_,21.7
u_interface.core_attn_out\[10\],21.7
_2357_,21.63
_0940_,21.62
_1356_,21.62
_1272_,21.6
_0242_,21.4
_1825_,21.4
_1852_,21.4
_0509_,21.38
net62,21.36
_1807_,21.34
_2355_,21.34
_1138_,21.32
_0611_,21.29
u_interface.u_compute_core.scaled_data\[6\],21.285
_2447_,21.28
_1798_,21.26
_2093_,21.26
_0615_,21.22
_1520_,21.22
_2656_,21.22
_1415_,21.2
_1821_,21.2
_0356_,21.19
_1365_,21.18
_2919_,21.18
_2896_,21.16
_1994_,21.1
u_interface.u_compute_core.mac_accum\[0\],21.1
_0394_,21.08
_0337_,21.04
_1277_,20.94
_2948_,20.92
_2159_,20.9
u_interface.core_attn_out\[21\],20.88
_0226_,20.8
_2222_,20.8
_1898_,20.76
_0621_,20.73
_1207_,20.7
_2861_,20.7
_0650_,20.66
_1034_,20.66
_1328_,20.66
_1372_,20.66
_0234_,20.64
_1195_,20.64
_2872_,20.62
_2120_,20.6
_0390_,20.58
_1254_,20.58
_0426_,20.5
_1271_,20.5
_1841_,20.5
_0728_,20.42
_2865_,20.38
_3010_,20.34
_1926_,20.32
_2054_,20.32
_2984_,20.31
_0239_,20.28
_1098_,20.28
_1559_,20.28
net45,20.14
_3008_,20.1
u_interface.u_compute_core.mac_last,20.1
_1310_,20.08
u_interface.u_compute_core.relu_data\[0\],20.08
_0847_,20.02
_0974_,19.98
_2362_,19.98
_1693_,19.95
_1766_,19.9
_2434_,19.86
_0769_,19.84
_2142_,19.82
_2382_,19.8
_2450_,19.8
_1373_,19.77
_0803_,19.76
_2765_,19.715
_0962_,19.7
net47,19.7
_1154_,19.58
_2653_,19.58
_0966_,19.5
_1813_,19.48
_1131_,19.46
_2827_,19.46
_2121_,19.44
_0268_,19.42
_0341_,19.42
_0844_,19.42
_2432_,19.42
_2103_,19.4
u_interface.core_attn_out\[6\],19.4
_1468_,19.38
_2356_,19.36
_0688_,19.34
_1895_,19.34
_0355_,19.32
_1456_,19.32
_2087_,19.26
net43,19.26
_2904_,19.25
u_interface.u_compute_core.scaled_data\[4\],19.245
_0397_,19.24
_0779_,19.22
_1633_,19.22
_2868_,19.22
_0243_,19.2
_0367_,19.08
_2476_,19.08
_1747_,19.06
_1631_,19.055
_1942_,19.04
_0672_,18.98
_1888_,18.98
_0345_,18.94
_2277_,18.94
_1212_,18.9
_1193_,18.88
_1134_,18.87
_0753_,18.86
_0539_,18.84
_1225_,18.84
_1361_,18.82
_1881_,18.78
_2163_,18.76
_1916_,18.7
_2963_,18.68
_0730_,18.66
_2938_,18.64
_1629_,18.62
_1427_,18.58
_1068_,18.56
_2223_,18.54
_1101_,18.52
_1547_,18.48
net124,18.48
_1006_,18.44
_1843_,18.42
_1229_,18.4
_1218_,18.36
_1849_,18.32
_0359_,18.28
_2129_,18.24
_1785_,18.2
_1333_,18.18
_2749_,18.14
_0639_,18.08
_1996_,18.06
_2284_,18.06
_2248_,18.04
_1109_,18.02
_1591_,18.02
_2737_,18.02
_0998_,18
_3012_,17.94
_1913_,17.88
_0398_,17.82
_0667_,17.8
_2483_,17.8
_1050_,17.78
_2185_,17.74
_2240_,17.74
_2891_,17.74
_1823_,17.72
_0805_,17.68
_2144_,17.68
_1868_,17.66
_1409_,17.62
_2314_,17.58
_0853_,17.54
_1920_,17.54
net131,17.54
_0459_,17.48
_1630_,17.46
_2421_,17.46
_0518_,17.4
_1859_,17.4
_2878_,17.4
_1391_,17.38
_1911_,17.38
_0614_,17.36
net128,17.36
_1269_,17.32
_2985_,17.32
_1720_,17.3
_1180_,17.28
_2873_,17.27
_1346_,17.26
_1753_,17.22
_2134_,17.2
_0570_,17.16
_0311_,17.12
_0782_,17.12
_2074_,17.12
_2034_,17.08
_0659_,17.06
_1071_,17.04
_1321_,17.025
_1402_,17
_2903_,17
_0921_,16.98
_0926_,16.94
_2009_,16.92
_1844_,16.9
_0884_,16.88
_2603_,16.88
_1118_,16.86
_1871_,16.85
_0945_,16.84
u_interface.u_compute_core.u_mac.product_reg\[2\],16.83
_1551_,16.82
_1400_,16.78
_2394_,16.78
_1653_,16.77
_1769_,16.75
_1521_,16.72
_1855_,16.72
_1984_,16.7
_2173_,16.7
_2376_,16.7
_1780_,16.62
_1874_,16.62
_1467_,16.6
_1899_,16.52
_0289_,16.5
_0775_,16.49
_0822_,16.48
_1186_,16.48
_1727_,16.46
_2411_,16.46
net46,16.42
_0562_,16.4
_0975_,16.4
_1300_,16.38
_1554_,16.38
_2069_,16.38
_3025_,16.34
_2474_,16.32
_0380_,16.3
_0781_,16.3
_0439_,16.26
_2348_,16.26
net130,16.26
_1219_,16.24
_0877_,16.2
_0941_,16.18
net129,16.14
_0285_,16.12
_2674_,16.12
_1136_,16.1
_0229_,16.08
_2764_,16.08
_0619_,16.06
u_interface.u_compute_core.mac_accum\[1\],16.06
_0463_,16.04
_1922_,16.02
_2360_,16.02
_2407_,16.02
_0431_,16
u_interface.core_attn_out\[15\],15.98
_0106_,15.965
_2408_,15.95
_0979_,15.94
